Channel#,Intensity
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,5
27,8
28,15
29,21
30,42
31,55
32,81
33,93
34,136
35,159
36,213
37,220
38,208
39,270
40,291
41,312
42,354
43,415
44,491
45,636
46,885
47,1170
48,1293
49,1237
50,902
51,682
52,638
53,716
54,872
55,875
56,846
57,738
58,734
59,830
60,1329
61,1882
62,2473
63,2561
64,2292
65,1624
66,1044
67,722
68,666
69,870
70,1771
71,4496
72,10681
73,19669
74,27891
75,29422
76,23732
77,15248
78,8244
79,4300
80,2742
81,2842
82,6496
83,20367
84,55836
85,121852
86,201221
87,252304
88,243340
89,180230
90,105232
91,53047
92,26838
93,15453
94,10333
95,7788
96,7743
97,8691
98,8955
99,8318
100,6872
101,5328
102,4150
103,3184
104,2369
105,1962
106,1828
107,1763
108,1821
109,1882
110,1994
111,2337
112,2653
113,3277
114,3694
115,3961
116,4322
117,4061
118,3986
119,3892
120,3715
121,3289
122,3087
123,2995
124,2846
125,2931
126,3109
127,3495
128,4189
129,5822
130,9278
131,15473
132,25504
133,40136
134,53794
135,61520
136,59138
137,48484
138,36541
139,29513
140,29632
141,33321
142,36130
143,35870
144,32796
145,30390
146,31515
147,34439
148,35963
149,33365
150,27252
151,19324
152,12537
153,8083
154,5454
155,4882
156,4962
157,5702
158,6682
159,7059
160,7703
161,8486
162,11011
163,15370
164,21153
165,27105
166,29728
167,27702
168,21957
169,15405
170,10301
171,6802
172,5081
173,4631
174,4825
175,5317
176,6613
177,9485
178,17369
179,37632
180,83724
181,168887
182,298571
183,449307
184,572402
185,612818
186,551848
187,414465
188,263480
189,142514
190,66761
191,28746
192,13550
193,8932
194,9168
195,12290
196,19409
197,31655
198,49978
199,70975
200,87389
201,94429
202,87298
203,68609
204,47771
205,29131
206,16423
207,9543
208,6455
209,5276
210,4787
211,4620
212,4875
213,4810
214,4951
215,5045
216,5195
217,5599
218,7073
219,10556
220,18013
221,33061
222,56976
223,88807
224,121765
225,144712
226,147921
227,132597
228,101580
229,69507
230,42487
231,25166
232,16242
233,11902
234,9859
235,9149
236,8490
237,7968
238,8000
239,8292
240,9011
241,10459
242,13275
243,17144
244,22271
245,27966
246,32201
247,33015
248,30956
249,26245
250,20560
251,15308
252,11754
253,9302
254,8170
255,7665
256,7475
257,7578
258,7676
259,7754
260,7926
261,7835
262,7895
263,8023
264,8376
265,8631
266,9412
267,10800
268,11940
269,13654
270,14851
271,15572
272,14943
273,13918
274,12339
275,10358
276,9323
277,8448
278,8079
279,7692
280,7673
281,7507
282,7358
283,7428
284,7520
285,7567
286,7573
287,7640
288,8221
289,8836
290,10301
291,12345
292,14632
293,16858
294,18914
295,19336
296,18503
297,16522
298,13905
299,11578
300,9800
301,8492
302,7692
303,7512
304,7446
305,7509
306,7610
307,7965
308,8377
309,9302
310,11404
311,16096
312,26729
313,49508
314,92562
315,164048
316,267982
317,395466
318,520324
319,614131
320,647331
321,608413
322,508904
323,382071
324,256716
325,156393
326,87386
327,46464
328,25314
329,15341
330,11222
331,9483
332,8947
333,8979
334,8852
335,8738
336,8569
337,8643
338,8656
339,8721
340,8758
341,9138
342,9632
343,10275
344,11863
345,14839
346,19924
347,28634
348,41240
349,57654
350,75521
351,92135
352,101857
353,102715
354,94068
355,77562
356,58610
357,40644
358,26513
359,16428
360,10688
361,7394
362,5977
363,5359
364,5631
365,6079
366,6665
367,7080
368,7800
369,8011
370,7846
371,7595
372,7078
373,6406
374,5851
375,5527
376,4988
377,4738
378,4739
379,4602
380,4712
381,4763
382,4937
383,4993
384,5066
385,5176
386,5059
387,4885
388,4912
389,4733
390,4574
391,4458
392,4349
393,4462
394,4433
395,4482
396,4256
397,4306
398,4236
399,4375
400,4665
401,4807
402,5288
403,5890
404,6371
405,7116
406,7432
407,7968
408,7853
409,7589
410,7055
411,6387
412,5938
413,5174
414,4695
415,4369
416,4019
417,3872
418,3758
419,3596
420,3577
421,3563
422,3698
423,3599
424,3685
425,3712
426,3733
427,3689
428,3609
429,3729
430,3759
431,3664
432,3562
433,3623
434,3396
435,3425
436,3347
