"Date","Test #","Sample ID","Grade Match #1","Grade Match #2","Grade Match #3","Mode","AVG","H","He","Li","Be","B","C","N","O","F","Ne","Na","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Kr","Rb","Sr","Y","Zr","Nb","Mo","Tc","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","I","Xe","Cs","Ba","La","Ce","Pr","Nd","Pm","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Re","Os","Ir","Pt","Au","Hg","Tl","Pb","Bi","Po","At","Rn","Fr","Ra","Ac","Th","Pa","U","Np","Pu","Am","Cm","Bk","Cf","Es","Fm","Md","No","Lr","Rf","Db","Sg","Bh","Hs","Mt","Ds","Rg","Cn","Uut","Fl","Uup","Lv","Uus","Uuo"
"2023-01-11 14:01:12","136","Gr5-soil-60","","","","Empirical","","","","","","","","","","","","3.098","1.978","7.585","31.239","","0.007","","","2.924","2.119","","0.207","0.008","","","1.842","","","","0.006","0.002","","","","","","0.014","0.022","0.003","0.015","0.003","0.000","","","","","","","","0.001","","","","","","0.159","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-11 14:04:19","137","Gr5-soil-60","","","","Mining","","","","","","","","","","","","","4829","8.07","35.75","528","","","","2.96","2.38","","1642","","","522","1.87","38","6.9","","45","","","","","","","132","178","30","119","9.1","","","","","","","","","","","","","","","1377","","","","","","","","","","","","","","","","","32","","","","","","","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-11 14:18:55","138","Gr5-soil-60","","","","Empirical","","","","","","","","","","","","","0.000","0.000","0.000","0.000","0.000","","","0.000","0.000","","0.000","","","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","0.000","0.000","0.000","0.000","0.000","","","","","","","","","0.000","","","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-11 14:23:42","139","Gr5-soil-60","","","","Empirical","","","","","","","","","","","","3.184","1.793","7.615","31.877","","0.006","","","3.531","1.605","","0.179","0.007","","","1.365","","","","0.006","0.002","","","","","","0.017","0.018","0.003","0.015","0.003","0.000","","","","","","","","0.001","","","","","","0.196","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-11 14:29:20","140","Gr5-soil-60","","","","Empirical","","","","","","","","","","","","3.140","","7.655","31.930","","0.006","","","3.488","1.604","","0.175","0.007","","","1.347","","","","0.006","0.002","","","","","","0.017","0.018","0.003","0.014","0.003","0.000","","","","","","","","0.001","","","","","","0.194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-11 14:32:37","141","Gr5-soil-60","","","","Empirical","","","","","","","","","","","","3.240","1.496","7.600","32.020","","0.006","","","3.457","1.600","","0.171","0.007","","0.070","1.351","","0.001","","0.006","0.002","","","","","","0.017","0.018","0.003","0.014","0.003","0.000","","","","","","","","0.001","","","","","","0.191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-11 14:36:05","142","Gr5-soil-60","","","","Empirical","","","","","","","","","","","","3.294","1.602","7.097","32.529","","0.005","","","4.900","1.111","","0.113","0.006","","","1.608","","0.001","0.001","0.006","0.002","","","","","","0.033","0.012","0.014","0.028","0.006","0.000","","","","","","","","0.001","","","","","","0.148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-11 14:39:30","143","Gr5-soil-60","","","","Empirical","","","","","","","","","","","","3.254","1.717","7.182","32.640","","0.005","","","4.942","1.086","","0.120","0.007","","","1.656","","0.001","","0.005","0.002","","","","","","0.033","0.012","0.014","0.028","0.006","0.000","","","","","","","","0.001","","","","","","0.150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-11 14:42:54","144","Gr5-soil-60","","","","Empirical","","","","","","","","","","","","3.229","1.442","7.360","33.252","","0.005","","","5.086","1.139","","0.124","0.007","","0.080","1.670","","0.001","","0.006","0.002","","","","","","0.033","0.012","0.014","0.028","0.006","0.000","","","","","","","","0.001","","","","","","0.148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-11 14:46:23","145","Gr5-soil-60","","","","Empirical","","","","","","","","","","","","3.259","1.627","7.560","33.532","","0.007","","","4.183","0.897","","0.118","0.006","","","1.011","","","","0.006","0.002","","","","","","0.029","0.016","0.005","0.019","0.004","0.000","","","","","","","","0.001","","","","","","0.192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
