"Date","Test #","Sample ID","Grade Match #1","Grade Match #2","Grade Match #3","Mode","AVG","H","He","Li","Be","B","C","N","O","F","Ne","Na","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Kr","Rb","Sr","Y","Zr","Nb","Mo","Tc","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","I","Xe","Cs","Ba","La","Ce","Pr","Nd","Pm","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Re","Os","Ir","Pt","Au","Hg","Tl","Pb","Bi","Po","At","Rn","Fr","Ra","Ac","Th","Pa","U","Np","Pu","Am","Cm","Bk","Cf","Es","Fm","Md","No","Lr","Rf","Db","Sg","Bh","Hs","Mt","Ds","Rg","Cn","Uut","Fl","Uup","Lv","Uus","Uuo"
"2023-01-05 13:33:51","108","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","200","239","","","3.19","2715","","572","24","34","360","1.42","< 1","16","5.0","207","","","3.5","1.7","","","150","< 1","","1011","119","< 1","","","","","< 1","< 1","","25","5.4","< 1","","","","67","69","169","< 1","< 1","","","","","","","","","","","","","","","","","","","","< 1","7.3","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 13:38:52","109","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","2713","963","","","1.80",">10%","","1.95","248","286","1683","9.25","4.0","283","44","93","","","1.7","4.4","","","43","1291","","< 1","89","28","","","","","< 1","< 1","","6.4","1.4","5.1","","","","1077","118","170","< 1","113","","","","","","","","","","","","","","","","","","","","4.3","3.1","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 13:43:19","110","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","372","< 1","","","6219",">10%","","1.96","200","212","1322","8.81","< 1","125","99","86","","","< 1","1.6","","","9.3","362","","5.6","14","17","","","","","< 1","3.6","","9.5","2.7","4.7","","","","138","11","90","309","161","","","","","","","","","","","","","","","","","","","","1.5","2.5","< 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 13:47:56","111","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","333","","","550",">10%","","6085","128","301","1346","7.75","< 1","167","87","55","","","< 1","1.8","","","1.2","103","","< 1","1.2","16","","","","","< 1","< 1","","2.7","3.7","< 1","","","","82","< 1","< 1","305","< 1","","","","","","","","","","","","","","","","","","","","3.1","< 1","4.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 13:52:22","112","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","3667","1282","","","1.86",">10%","","1.92","267","265","1638","9.28","< 1","271","57","126","","","1.5","3.0","","","43","1276","","< 1","91","29","","","","","< 1","< 1","","4.5","4.6","6.2","","","","1175","116","207","< 1","< 1","","","","","","","","","","","","","","","","","","","","5.1","2.5","3.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 13:56:46","113","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","1818","","","2822",">10%","","2921","68","189","1133","6.86","< 1","252","68","50","","","< 1","< 1","","","3.5","134","","< 1","1.6","14","","","","","< 1","< 1","","< 1","< 1","6.3","","","","84","3.0","2.5","< 1","< 1","","","","","","","","","","","","","","","","","","","","1.6","< 1","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 14:01:23","114","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","< 1","938","","","1.77","6.53","","7066","130","11","1701","6.74","< 1","29","29","130","","","< 1","4.8","","","67","383","","2.9","7.1","16","","","","","< 1","1.3","","12","< 1","< 1","","","","377","< 1","107","179","< 1","","","","","","","","","","","","","","","","","","","","3.8","5.6","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 14:05:50","115","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","172","303","","","3.16","1.76","","2412","67","18","546","1.63","< 1","6.9","12","63","","","1.7","< 1","","","175","316","","101","12","< 1","","","","","< 1","2.3","","2.5","< 1","< 1","","","","806","18","143","75","< 1","","","","","","","","","","","","","","","","","","","","1.5","< 1","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 14:10:13","116","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","64","197","","","3.45","5343","","395","6.8","12","267","7170","< 1","2.2","8.8","58","","","< 1","2.6","","","385","8.1","","131","84","< 1","","","","","< 1","< 1","","5.1","< 1","12","","","","< 1","86","89","57","< 1","","","","","","","","","","","","","","","","","","","","< 1","2.7","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023-01-05 14:15:18","117","Gr5-soil-60","","","","Soil","","","","","","","","","","","","","","","","574","418","","","3.66","1.68","","3851","117","59","392","2.22","31","48","18","48","","","2.2","15","","","185","599","","158","22","2.8","","","","","< 1","1.1","","5.6","< 1","13","","","","1384","69","130","< 1","< 1","","","","","","","","","","","","","","","","","","","","4.6","12","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
