"Date","Test #","Sample ID","Grade Match #1","Grade Match #2","Grade Match #3","Mode","AVG","H","He","Li","Be","B","C","N","O","F","Ne","Na","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Kr","Rb","Sr","Y","Zr","Nb","Mo","Tc","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","I","Xe","Cs","Ba","La","Ce","Pr","Nd","Pm","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Re","Os","Ir","Pt","Au","Hg","Tl","Pb","Bi","Po","At","Rn","Fr","Ra","Ac","Th","Pa","U","Np","Pu","Am","Cm","Bk","Cf","Es","Fm","Md","No","Lr","Rf","Db","Sg","Bh","Hs","Mt","Ds","Rg","Cn","Uut","Fl","Uup","Lv","Uus","Uuo"
"2022-11-07 12:47:01","1","","","","","Mining","","","","","","","","","","","","","","7517","6082","949","1.18","","","2367","2231","","","908","15.75","1.28","61.93","3327","10.31","498","","","","","","","","","22","","","","1.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","781","","","","","","","","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-07 12:47:31","2","","","","","Mining","","","","","","","","","","","","","","","","","","","","","","","","1064","15.20","1.37","61.79","3382","10.78","","","","","","","","","","","","","","1.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-07 12:20:30","3","","","","","Soil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","< 1","3.9","","136","< 1","105","","","","11","< 1","< 1","< 1","< 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-07 12:21:32","4","","","","","Soil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","< 1","< 1","","142","40","19","","","","11","83","112","< 1","< 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:16:43","5","","","","","Mining","","","","","","","","","","","","","2.62","10.97","25.22","418","","","","1602","8.06","","4531","260","","1408","6.95","119","23","193","69","","","","","","","","296","","6.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:21:12","6","","","","","Mining","","","","","","","","","","","","","2.57","11.28","25.79","344","","","","1644","8.22","","4022","269","","1416","6.73","114","30","202","68","","","","","","","","292","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:23:10","7","","","","","Mining","","","","","","","","","","","","","2.65","11.31","25.77","330","","","","1692","8.22","","3855","284","","1354","6.74","164","26","191","71","","","","","","","","296","14","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:24:05","8","","","","","Mining","","","","","","","","","","","","","3.04","9.72","27.79","563","","","","3597","7.07","","4032","261","","1247","6.33","80","29","107","72","","","","","","","","287","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:24:38","9","","","","","Mining","","","","","","","","","","","","","2.85","9.52","27.51","455","","","","3543","7.01","","4879","342","113","1163","6.34","94","28","83","70","","","","","","","","288","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:25:08","10","","","","","Mining","","","","","","","","","","","","","2.89","9.68","27.70","543","","","","3631","7.08","","3864","267","93","1221","6.17","114","31","70","66","","","","","","","","287","20","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:27:50","11","","","","","Mining","","","","","","","","","","","","","","7.98","36.28","548","","","","3.44","1.72","","1298","","","360","1.30","","","","40","","","","","","","153","128","33","109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","","","","","","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:28:17","12","","","","","Mining","","","","","","","","","","","","","4163","8.11","36.79","564","","","","3.50","1.74","","1334","","","352","1.37","","","","43","","","","","","","163","128","32","100","5.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","","","","","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:28:43","13","","","","","Mining","","","","","","","","","","","","","2641","8.17","37.16","623","","","","3.49","1.76","","1175","","","366","1.35","37","","","45","","","","","","","162","131","30","111","5.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:30:06","14","","","","","Mining","","","","","","","","","","","","","","","","","","","","","","","","","","225","9172","","","","56","","","","","","","265","101","","131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:30:31","15","","","","","Mining","","","","","","","","","","","","","","7.80","39.06","430","","","","4.27","9678","","1001","","","282","9600","","","","40","","","","","","","287","113","61","161","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:31:12","16","","","","","Mining","","","","","","","","","","","","","","7.57","37.99","296","","","","4.22","9556","","997","","","283","9366","","","","41","","","","","","","286","111","60","148","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:31:38","17","","","","","Mining","","","","","","","","","","","","","","7.70","37.90","328","","","","4.15","9526","","1015","","","318","9603","","","","43","","","","","","","276","111","63","163","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022-11-09 14:33:19","18","","","","","Mining","","","","","","","","","","","","","4.38","9.02","31.72","886","","","","2.32","7957","","3554","162","85","489","3.30","","54","","134","","","","","","","96","371","28","169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","","","","","","","","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
